,Year,DistrictNew,Code,LocationNew,Robbery,Street_robbery,Injury,Agg_assault,Threat,Theft,Car,From_car,Bike,Burglary,Fire,Arson,Damage,Graffiti,Drugs,Local
397,2012,MarzahnHellersdorf,100103,MarzahnSd,55,20,295,61,91,1534,135,372,119,41,37,19,411,81,19,648
398,2018,TempelhofSchneberg,70404,Tempelhof,57,24,652,151,261,3729,105,652,504,134,51,11,812,239,358,1724
399,2014,Mitte,10332,BrunnenstraeNord,107,47,648,167,217,3183,69,407,384,178,48,19,532,92,302,1574
400,2014,Lichtenberg,110308,FrankfurterAlleeSd,15,9,114,24,20,763,35,134,135,17,17,7,124,36,43,239
401,2015,CharlottenburgWilmersdorf,40515,Barstrae,19,11,113,19,45,980,30,199,227,66,2,0,102,17,24,389
402,2013,TempelhofSchneberg,70202,SchnebergSd,93,49,548,149,177,2900,56,376,627,162,23,9,518,113,218,1406
403,2015,Mitte,10441,Parkviertel,83,45,677,177,214,3582,55,537,343,126,31,16,491,88,198,1493
404,2013,TreptowKpenick,90104,Johannisthal,11,4,99,16,61,619,57,168,75,45,9,4,164,34,15,256
405,2019,SteglitzZehlendorf,60305,TeltowerDamm,36,28,173,29,94,1170,23,204,376,50,12,2,242,32,51,449
406,2019,FriedrichshainKreuzberg,20101,SdlicheFriedrichstadt,125,70,716,200,255,3973,43,447,483,105,41,17,656,103,622,1858
407,2017,CharlottenburgWilmersdorf,40309,Kurfrstendamm,73,32,718,203,156,4225,53,316,185,55,11,5,384,109,131,1252
408,2018,Spandau,50205,HeerstraeNord,33,17,350,74,148,949,34,157,57,50,23,13,239,36,44,750
409,2013,Pankow,30203,Buchholz,3,2,75,19,36,483,47,74,45,23,2,0,130,23,8,179
410,2018,Lichtenberg,110513,Karlshorst,6,4,98,25,53,738,44,77,214,66,16,5,146,27,18,273
411,2014,Reinickendorf,123012,Nord2WaidmannslustWittenauLbars,49,32,358,87,111,1479,23,251,171,123,23,4,294,65,67,778
412,2019,Mitte,10331,OsloerStrae,61,30,727,168,214,2474,46,289,284,77,31,7,468,116,279,1457
413,2018,Spandau,50102,FalkenhagenerFeld,35,24,427,92,154,1012,56,194,174,41,29,13,296,10,53,904
414,2015,SteglitzZehlendorf,60203,Lankwitz,19,11,264,53,110,960,43,207,109,104,7,0,297,51,78,611
415,2017,Spandau,50308,Siemensstadt,10,9,143,32,42,763,33,149,110,36,10,5,155,44,22,343
416,2017,MarzahnHellersdorf,109900,BezirkMzHdnichtzuzuordnen,10,9,66,17,30,296,17,64,49,0,0,0,67,21,12,134
417,2014,TreptowKpenick,99900,BezirkTpKpnichtzuzuordnen,25,21,10,7,33,348,25,186,84,1,9,7,0,0,20,143
418,2012,TreptowKpenick,90207,Adlershof,29,10,133,29,48,961,24,123,164,34,8,6,222,53,20,345
419,2016,Pankow,30203,Buchholz,1,0,43,5,41,460,28,96,38,53,3,1,100,32,9,141
420,2018,TempelhofSchneberg,79900,BezirkThSbnichtzuzuordnen,21,17,84,20,47,692,18,126,103,0,2,1,58,7,35,194
421,2018,Lichtenberg,110308,FrankfurterAlleeSd,11,6,172,42,35,806,22,89,101,14,6,4,163,47,85,334
422,2016,MarzahnHellersdorf,100409,Mahlsdorf,7,5,78,9,42,634,33,104,127,120,2,1,97,16,10,172
423,2017,TreptowKpenick,90310,Bohnsdorf,7,2,112,27,32,459,43,65,39,41,2,1,99,21,16,204
424,2012,TreptowKpenick,99900,BezirkTpKpnichtzuzuordnen,3,1,104,36,23,320,2,26,14,0,3,3,376,293,7,161
425,2017,MarzahnHellersdorf,100205,HellersdorfOst,24,11,291,51,69,558,22,74,113,12,14,2,218,65,23,526
426,2012,Mitte,10332,BrunnenstraeNord,145,71,675,192,191,2928,76,473,218,252,36,7,495,72,162,1532
427,2019,SteglitzZehlendorf,60101,Schlostr,39,23,240,51,79,2281,41,155,388,65,41,5,248,45,70,587
428,2014,Mitte,10113,Alexanderplatz,203,106,1309,364,350,10510,89,710,1074,241,46,18,1207,351,506,2984
429,2013,Mitte,10442,WeddingZentrum,160,76,1156,341,382,3307,48,603,319,201,70,25,822,127,526,2388
430,2017,FriedrichshainKreuzberg,20101,SdlicheFriedrichstadt,115,61,692,233,223,3953,49,611,454,82,42,18,640,121,1003,1524
431,2016,MarzahnHellersdorf,100408,Kaulsdorf,7,2,99,14,38,520,24,80,98,93,6,2,102,8,3,194
432,2018,CharlottenburgWilmersdorf,40202,Heerstrasse,16,9,178,64,39,656,34,126,75,89,3,1,139,51,49,334
433,2014,FriedrichshainKreuzberg,20304,sdlicheLuisenstadt,171,132,583,271,117,2814,31,213,373,82,57,18,508,165,996,1231
